직무명,회사명,위치,자격요건,우대사항
앱 개발자,인포메이드,서울.한국,"
인포메이드의 신규 어플은 서버는 Java, 프론트는 제이쿼리/자바스크립트를 이용해 제작되고 있어요.

●그래서 이런 자격이 필요해요.
• Java 능숙자 (JQuery, AWS EC2)
우대사항","
• Javascript 기반의 UI Component 활용 경험자
• 하이브리드 앱 개발 경험자
• AWS 서버 개발 경험자
• 탐구력과 추리력이 있으신 분
• 협업에 능통하신 분
혜택 및 복지
• 자율 복장
• 간식 제공
• 자유로운 휴가 사용 가능
• 야근 저녁 식대 제공
• 개인 공부 지원
• 어플 수익 20% 보너스"
iOS 앱 개발자,시큐차트,서울.한국,"
• iOS 앱 개발 경력 3년 이상 
• Swift/Objective-C의 기본에 대한 이해를 가지고 있는 분
• iOS 개발 트렌드에 대한 관심을 가지고 있는 분
• 자유로운 커뮤니케이션 능력을 가지신 분
우대사항","
• iOS 앱 개발 리딩 경험
혜택 및 복지
• 자유로운 연차/반차 사용
• 자율복장
• 시차출근제
• 간식/음료 제공
• 야근 시 석식비 지원(기본적으로 야근을 지양합니다)
• 직무 관련 도서 구매지원
• 업무 필요 장비 적극 지원"
웹 퍼블리셔,휴먼컨설팅그룹,서울.한국,"
• Javascript, HTML, CSS3, 접근성, 반응형 웹에 대한 이해도
• SCSS 사용 경험
• Bootstrap 사용 경험
우대사항","
• 원할한 커뮤니케이션과 협업 능력자
• HR관련 유경험자
혜택 및 복지
【근무환경】
• 근무지 : 강남센터(신논현역 1번 출구 500m 이내)/판교센터(판교역, 삼환하이펙스)
• 고객사 업무 지원

【복리후생】
• 유연 근무제
• 연차, 경조/포상/모성보호 휴가
• 창립기념 행사 및 문화 이벤트
• 국내외 워크샵
• (배지를 활용한) 인정과 피드백
• 동료, 부서간 긴밀한 협업
• 신입사원 교육 (OJT)
• 온라인 교육직무능력 향상 
• 교육멘토링 제도
• 리더십 강화 교육
• 각종 경조사비명절 및 출산 선물우수사원 포상
• 통신비 지원
• 장기 근속자 포상
• 야간 교통비 지원
• 생일 축하금
• 노트북 지원
• 4대 보험
• 건강검진, 단체 상해보험"
모바일 앱 개발자(Mobile Software Engineer),트리플콤마(골드스푼),서울.한국,"
- 개발 경력 3년 이상 혹은 그에 준하는 실력을 보유한 분을 찾습니다.
- TypeScript를 통한 React-Native 기반의 앱 어플리케이션 개발 경험이 필요합니다.
- RESTful API 기반의 클라이언트 개발 경험이 필요합니다.
- 실제 서비스를 위한 앱스토어 출시 및 업데이트 경험이 필요합니다.
우대사항","
- 고객 경험 중심으로 생각하며 원활한 커뮤니케이션이 가능하신 분
- 기술로써 동료들의 업무 효율성을 향상시킨 경험이 있는 분
- 스타트업에서 유의미한 성과를 낸 경험이 있는 분
- 다양한 플랫폼 개발 경험을 가지신 분
혜택 및 복지
1. 합당한 보상

• 뛰어난 인재에게 합당한 보상을 지급합니다. 
  (업계 최상위 연봉 제안) 
• 열심히 하는만큼 더 받을 수 있도록 성과에 따른 인센티브도 존재합니다.
• 최신 기기 등 업무에 필요한 모든 사무기기를 제공합니다.

2. 근무 여건의 '엄청난' 강점

• 풀재택근무/원격근무/사무실근무 등 자유로운 형태의 근무환경을 제공합니다.
• '야근'이라는 단어가 존재하지 않는 사내 문화
• 2호선 삼성역 2분거리 초역세권에 사무실이 있습니다.
• 맥주를 무제한으로 드실 수 있고 고급 커피머신이 준비되어 있습니다.
• 모든 직원이 서로 ~님으로 호칭하고 존댓말을 사용하는 수평적인 문화입니다.
• 매월 20만원씩 충전되는 식대 법인카드를 제공합니다.

3. 그 밖의 강점들

• 반려동물과 함께 출근 가능합니다.
• 자유롭게 연차/반차를 사용합니다.
• 일이 없어도 억지로 야근을 하거나, 눈치 보면서 퇴근을 하지 않습니다.
• 경조사비/경조휴가를 지원합니다.
• 식대를 제공하고 간식을 무제한 제공합니다.
• 4대보험을 지원합니다."
웹개발자,크리에이트잇,서울.한국,"
• 사용자를 배려하고 새로운 기술, 개념을 두려워하지 않고 꾸준히 노력하는 분
• 빠르게 성장하는 회사와 함께 빠르게 성장하고 싶으신 분
• 생각을 시각화 하고 생각의 정리 정돈이 잘 되는 분
• 작업 의도와 결과물을 논리적으로 전달해주실 수 있는 분
• node 능숙하게 사용 가능하신분
• 모델링 경험이 풍부하거나 자신 있는 분
• 정형데이터, 비정형데이터 차이를 아시는 분
• AWS에 관심을 갖고 개발, 운영 경험이 있는 분
• 마이크로 서비스 아키텍처 개념을 이해하시는분
• 정보처리 자격증 소지자
• 디자인패턴을 이해하는 분
• 코드 품질에 자신있는 분
우대사항","
• 기본적인 배려와 센스가 있는 분
• 사용자의 니즈, 동기, 태도, 행위를 이해하고 생각하시는 분
• 에이전시 및 SI 경험있으신 분
• 해당 포지션 관련 자격증 소지 및  전공자
혜택 및 복지
ㆍ스타벅스 원두 캡슐커피 구비
ㆍ도서 및 장비 필요시 구매
ㆍ야근, 회식 등 강요 전혀 없음
ㆍ최대한 업무에 불편함이 없도록 지원
ㆍ탄력근무 및 식대지원
ㆍ생일 선물 및 기타 당연한 혜택 및 복지 지원 (법적 휴가보장,간식함, 필요장비 등..)"
Field Application 엔지니어,벡터코리아아이티(Vector Korea IT),서울.한국,"
• 임베디드 컴파일러 사용 경험과 소프트웨어 개발에 사용되는 도구 사용 경험(소프트웨어 설계도구, 소프트웨어 검증 도구 등) 
•  소프트웨어 개발 프로세스와 소프트웨어 빌드 프로세스에 대한 지식
•  소프트웨어 검증 경험
•  C와 C++ 프로그램 언어 지식
•  파이썬 또는 다른 스크립트 언어 지식
•  소프트웨어 공학, 전자 공학, 또는 이와 유사한 전공의 학사 학위 이상 
•  신입 ~ 8년차 이하
우대사항","
• 로봇틱스 또는 항공산업 유경험자
• 파이썬 전문가
• 임베디드 리눅스 전문가
혜택 및 복지
벡터코리아에서는 연말 보너스를 비롯한 각종 지원금을 제공해 드립니다. 또한 유연 근로제, 콘도 멤버쉽, 자기개발을 위한 내부, 외부 교육, 무료 영어 교육 등 직원을 복지를 위한 많은 프로그램을 제공하고 있습니다."
백엔드 엔지니어,크리에이트잇,서울.한국,"
• 사용자를 배려하고 새로운 기술, 개념을 두려워하지 않고 꾸준히 노력하는 분
• 빠르게 성장하는 회사와 함께 빠르게 성장하고 싶으신 분
• 생각을 시각화 하고 생각의 정리 정돈이 잘 되는 분
• 작업 의도와 결과물을 논리적으로 전달해주실 수 있는 분
• node 능숙하게 사용 가능하신분
• 모델링 경험이 풍부하거나 자신 있는 분
• 정형데이터, 비정형데이터 차이를 아시는 분
• AWS에 관심을 갖고 개발, 운영 경험이 있는 분
우대사항","
• 기본적인 배려와 센스가 있는 분
• 사용자의 니즈, 동기, 태도, 행위를 이해하고 생각하시는 분
• 에이전시 및 SI 경험있으신 분
• 해당 포지션 관련 자격증 소지 및  전공자
• 마이크로 서비스 아키텍처 개념을 이해하시는분
• 정보처리 자격증 소지자
• 디자인패턴을 이해하는 분
• 코드 품질에 자신있는 분
혜택 및 복지
• 스타벅스 원두 캡슐커피 구비
• 도서 및 장비 필요시 구매
• 야근, 회식 등 강요 전혀 없음
• 최대한 업무에 불편함이 없도록 지원
• 탄력근무 및 식대지원
• 생일 선물 및 기타 당연한 혜택 및 복지 지원 (법적 휴가보장,간식함, 필요장비 등..)"
프론트엔드 엔지니어,크리에이트잇,서울.한국,"
• 사용자를 배려하고 새로운 기술, 개념을 두려워하지 않고 꾸준히 노력하는 분
• 빠르게 성장하는 회사와 함께 빠르게 성장하고 싶으신 분
• 생각을 시각화 하고 생각의 정리 정돈이 잘 되는 분
• 작업 의도와 결과물을 논리적으로 전달해주실 수 있는 분
• SPA 라이브러리(react, vue, angular 등)를 활용한 프로젝트 경험 있는 분
• 모델링 경험이 풍부하거나 자신 있는 분
• html, css 찾아 보지 않아도 작성 가능한 분
우대사항","
• 기본적인 배려와 센스가 있는 분
• 사용자의 니즈, 동기, 태도, 행위를 이해하고 생각하시는 분
• 에이전시 및 SI 경험있으신 분
• 해당 포지션 관련 자격증 소지 및  전공자
• 디자인패턴을 이해하는 분
• 코드 품질에 자신있는 분
• css를 찾아보거나 관리자툴로 맞춰보지 않아도 원하는 형태로 만들수 있는 분
혜택 및 복지
ㆍ스타벅스 원두 캡슐커피 구비
ㆍ도서 및 장비 필요시 구매
ㆍ야근, 회식 등 강요 전혀 없음
ㆍ최대한 업무에 불편함이 없도록 지원
ㆍ탄력근무 및 식대지원
ㆍ생일 선물 및 기타 당연한 복지 지원 (간식함, 필요장비 등..)"
백엔드 개발자 (Node.js / NestJS),블랭크랩,서울.한국,"
• Typescript에 대한 이해도가 있으신 분
• 2년 이상의 백엔드 개발 경력 또는 그에 준하는 완성도 높은 결과물을 구현해 내는 능력을 가지신 분
• 하나 이상의 프로그래밍 언어를 능숙하게 사용하여 서비스를 개발하신 경험이 있으신 분
• 읽기 좋은 코드와 복잡성을 줄이고자 꾸준히 고민하시는 분
• GraphQL이나 RESTful API에 대한 설계와 개발 경험이 있으신 분
• Git을 통한 프로젝트 관리 및 협업 경험이 있으신 분
• 영어로 된 기술 문서를 읽는 것에 부담이 없으신 분
• PO, 프론트엔드 개발자와 원활히 소통하는 능력을 갖추신 분
• 개인의 성장을 위한 학습에 열의가 있으신 분
• 코드 리뷰와 지식공유에 적극적이신 분
우대사항","
• OOP와 FP에 대한 기본적인 이해도 이상을 가지신 분
• Kotlin이나 Go로 실제 프로덕트를 개발해 보신 분
• AWS의 다양한 서비스를 활용한 개발 및 운영 경험을 보유하신 분
• Docker, Docker Compose등 컨테이너를 사용한 서비스 개발 경험을 보유하신 분
• 이커머스 서비스(상품/주문/결제 등)에 대한 DB 및 서버 설계와 개발 경험을 보유하신 분
• 대용량 데이터 및 트래픽 경험이 있는 분
혜택 및 복지
경력 개발자 최저 연봉 5000만원 보장:
• 좋은 동료와 함께하기 위해 지원을 아끼지 않습니다.

자율 출퇴근:
• 오전 8시에서 오전 11시 사이에 원하는 출근합니다.
• 출근 후 9시간(식사 시간 1시간 포함) 이후에 자유롭게 퇴근합니다.

리모트 워크:
• 주 2회 리모트 워크를 합니다.

다양한 휴가:
• 자유롭게 연차 휴가를 사용합니다.
• 반반차나 생일에는 조기퇴근 등 다양한 휴가 제도를 시행합니다.

든든하게 먹기:
• 점심 식대를 1만원까지 지원합니다.
• 사내에 있는 스낵바와 카페에서 간식과 커피를 무제한 제공합니다.

최고의 업무 환경:
• Macbook Pro와 Windows기반의 노트북 중 원하시는 신형 기기를 지원합니다.
• BYOD를 원하시면 매월 일정 금액을 지원합니다.
• 27인치 4K 모니터를 지원합니다.
• SaaS나 개발에 필요한 다양한 업무용 도구를 적극적으로 사용합니다.

브랜드 제품:
• 분기별로 블랭크의 다양한 브랜드 제품 구입 비용 45만 원을 지원합니다.

가족과 함께:
• 매년 5월엔 가족과 풍요로운 시간을 보내기 위한 20만원 상당의 식사비를 지원합니다.
• 가정을 배려하는 직장 어린이집을 운영합니다."
웹 프론트엔드 개발자,마보,서울.한국,"
• 최소 2년 이상의 실무 개발 경험을 가지신 분들의 이력서만 검토합니다.
• 웹 서비스 프론트엔드 개발 및 운영 경험 2년 이상
• HTTP/HTTPS, RESTful API 클라이언트 개발 경험
• Javascript / Typescript 실무 개발 경험
• HTML, CSS, Javascript, CORS 에 대한 이해
• SEO에 대한 이해 및 그에 따른 기술 운영 방식에 대한 경험
• UI/UX 이해도가 높으신 분
우대사항","
• 모바일 서비스 업무 경험이 있으신 분
• 컨텐츠 스트리밍에 경험이 있으신 분
혜택 및 복지
• 마보팀은 자기가 일하고 싶은 곳에서 일해요! (리모트(재택) 근무가 Default)
• 재택근무 시 카페에 가고 식사를 할 수 있는 월 10만원의 활동비가 별도로 지급됩니다.
• 가족 또는 지인들에게 선물하고 같이 명상할 수 있는 마보 선물권을 드립니다.
• 가족 친화적 회사~아이가 있으면 더 탄력적으로 업무시간을 선택할 수 있어요!
• 매주 월요일, 금요일 온라인 회의를 하고, 한달에 한번 마보홈에서 오프라인 회의를 합니다! 팀원들의 자율성과 책임감을 믿고 존중합니다."
