,직무명,회사명,위치,조건텍스트
0,앱 개발자,인포메이드,서울.한국,"●처음 들어보시죠? 인포메이드는요!
‘IT 기술로 모두의 일상을 더 즐겁게 만들자’는 생각 아래 설립된 기업입니다. 첫 출시 어플인 ＜쏠쏠한선택＞을 통해 뉴스를 밸런스게임 형태로 제작해 제공함으로써 정보 제공 플랫폼의 새로운 패러다임을 제공했으며, ‘뉴스=재미없는 것’이라는 생각을 전복시키는데 기여했습니다.

쏠쏠한선택은 누적 다운로드 수 9만을 돌파하며 빠르게 성장했습니다. 
이러한 경험을 바탕으로, 전세계를 강타한 질병에 특히 처지는 요즘, 인포메이드는 모두의 일상에 활기를 되찾아 주기 위해 새로운 여정을 시작하고자 합니다. 국내와 아시아를 뛰어넘어, 글로벌 친구들의 일상 속 즐거운 습관이 될 때까지 노력하겠습니다.

저희와 함께 사람들의 미소를 만들어보지 않으실래요?

●인포메이드와 함께 하는 동료들은요,
1 언제나 ‘선한 가치’를 먼저 생각합니다.
우리는 ‘모두의 일상을 더 즐겁게’라는 미션 아래, 즐거움을 제공할 수 있는 가장 가치 있는 일을 찾아 나섭니다. 어쩐지 가슴 한 켠이 불편한 재미 대신, 속에서 편안하게 우러나는 기쁨을 마주하기 위해 끊임없이 고민합니다.

2 목표로 향하는 ‘과정’을 즐길 줄 압니다.
우리는 어떤 결과에도 굴복하지 않습니다. 다만 과정을 즐길 뿐입니다. 과정을 하나의 여행으로 받아들이며 목표를 향해 신나는 발걸음을 내딛습니다. 여행의 끝에서 마주한 결과는 개개인을 성장시키는 양분이 됩니다.

3 ‘내 생각’을 말할 수 있습니다.
우리는 누군가 ‘정답’이라 말하는 틀에 박힌 일방적 주장 대신 모두 함께 대화함으로써 문제를 해결해 나갑니다. 서로를 존중하는 분위기 속에서 더 나은 해결책을 찾기 위해 노력합니다.

●인포메이드의 인재상은요,
1 즐거워하는 사람들의 모습을 보는 게 좋은 분
2 결과를 향해 가는 과정을 즐길 줄 아는 분
3 스스로 고민하여 더 나은 방법을 찾을 줄 아는 분
4 문제 해결을 위해 주위에 도움을 구할 줄 아는 분
5 성공에 대한 기쁨을 함께 나눌 줄 아는 분

●당신과 함께 할 팀원 한 마디!
H: 일에 집중되지 않으면 노래를 부르면서 춤을 춰도 괜찮아요. 팀원들도 함께 하니까요! 그만큼 자유로운 분위기 속에서 즐겁게 일할 수 있답니다.
Silver: 어떤 말을 해도 재치 있게 받아줘요! 다들 약간의 개그 욕심(?)이 있어서 커뮤니케이션이 정말 즐거워요.
SO: 우리 팀은 서로를 닉네임으로 부르며 동등한 위치에서 일해요. 덕분에 의견을 편하게 얘기할 수 있어 좋아요!
주요업무
인포메이드는 현재 사람들에게 색다른 즐거움을 제공할 신규 어플 런칭을 앞두고 있습니다.
당신은 어플이 런칭된 후, 어플이 계속 잘 운영될 수 있게 유지하고 기능을 추가 개발하는 일을 담당하게 될 거예요.

●정리하자면 당신의 주요 업무는요,
• 신규 어플 유지 보수
• 신규 어플 기능 개발
자격요건
인포메이드의 신규 어플은 서버는 Java, 프론트는 제이쿼리/자바스크립트를 이용해 제작되고 있어요.

●그래서 이런 자격이 필요해요.
• Java 능숙자 (JQuery, AWS EC2)
우대사항
• Javascript 기반의 UI Component 활용 경험자
• 하이브리드 앱 개발 경험자
• AWS 서버 개발 경험자
• 탐구력과 추리력이 있으신 분
• 협업에 능통하신 분
혜택 및 복지
• 자율 복장
• 간식 제공
• 자유로운 휴가 사용 가능
• 야근 저녁 식대 제공
• 개인 공부 지원
• 어플 수익 20% 보너스"
1,iOS 앱 개발자,시큐차트,서울.한국,"시큐차트는 악성앱을 잡는 새로운 방식의 엔진을 개발하여, 
국내의 주요 금융사에 공급 중이며
더 나아가 대국민 서비스를 위하여 B2C백신앱 캐치를 개발하여 서비스 중인 회사입니다.

캐치는
전 세계 모든 마켓에 올라오는 1,000만 개 이상의 앱 데이터를 실시간으로 수집하고
마켓 내 존재하지 않는 위•변조, 악성 앱 여부를 실시간 전달 받아
사용자가 설치하는 모든 앱을 실시간으로 감지하여, 앱 데이터와 비교 분석을 통해
사용자가 안전하게 휴대폰을 사용할 수 있도록 도와줍니다.
주요업무
• 캐치 iOS 앱 개발
• 지속적인 협업을 통한 좀더 발전된 앱 개발
자격요건
• iOS 앱 개발 경력 3년 이상 
• Swift/Objective-C의 기본에 대한 이해를 가지고 있는 분
• iOS 개발 트렌드에 대한 관심을 가지고 있는 분
• 자유로운 커뮤니케이션 능력을 가지신 분
우대사항
• iOS 앱 개발 리딩 경험
혜택 및 복지
• 자유로운 연차/반차 사용
• 자율복장
• 시차출근제
• 간식/음료 제공
• 야근 시 석식비 지원(기본적으로 야근을 지양합니다)
• 직무 관련 도서 구매지원
• 업무 필요 장비 적극 지원"
2,웹 퍼블리셔,휴먼컨설팅그룹,서울.한국,"【회사 소개】
휴먼컨설팅그룹(HCG)은 2001년 설립되어 국내 HR 시장을 선도하고 있는 HR 전문기업으로서, 국내에서 유일하게 인사∙조직 컨설팅, e-HR 솔루션 및 급여 아웃소싱 영역을 아우르는 HR Total Solution을 제공하고 있습니다.

인적자원 및 조직에 대한 풍부한 경험과 전문성으로 실질적이고 차별화된 고품질의 실행방안을 제공하는 HR 컨설팅과 45만 이상의 사용자가 검증한 국내 Top e-HR 솔루션 휴넬(hunel), 강소기업형 제이드(JaDE), OKR 기반의 성과관리 플랫폼 퍼포먼스 플러스(Performance Plus)는 고객의 HR 업무 수행에 있어 효율성을 제공하고 최적의 의사결정을 지원합니다. 

HCG는 HR 컨설팅, e-HR 솔루션, 급여 아웃소싱 서비스 등 HR 가치 사슬의 모든 영역에 걸친 통합 서비스를 제공하여 고객의 비즈니스 전략 실행을 가능하게 합니다.

【채용 전형】
• 서류전형
• 1차 면접
• 2차 면접
• 최종 합격
주요업무
• HR 솔루션 퍼블리싱
• 고객사 업무 지원 (on-site)
자격요건
• Javascript, HTML, CSS3, 접근성, 반응형 웹에 대한 이해도
• SCSS 사용 경험
• Bootstrap 사용 경험
우대사항
• 원할한 커뮤니케이션과 협업 능력자
• HR관련 유경험자
혜택 및 복지
【근무환경】
• 근무지 : 강남센터(신논현역 1번 출구 500m 이내)/판교센터(판교역, 삼환하이펙스)
• 고객사 업무 지원

【복리후생】
• 유연 근무제
• 연차, 경조/포상/모성보호 휴가
• 창립기념 행사 및 문화 이벤트
• 국내외 워크샵
• (배지를 활용한) 인정과 피드백
• 동료, 부서간 긴밀한 협업
• 신입사원 교육 (OJT)
• 온라인 교육직무능력 향상 
• 교육멘토링 제도
• 리더십 강화 교육
• 각종 경조사비명절 및 출산 선물우수사원 포상
• 통신비 지원
• 장기 근속자 포상
• 야간 교통비 지원
• 생일 축하금
• 노트북 지원
• 4대 보험
• 건강검진, 단체 상해보험"
3,모바일 앱 개발자(Mobile Software Engineer),트리플콤마(골드스푼),서울.한국,"• 트리플콤마는 국내 최초 서류인증 기반 프리미엄 매칭 서비스인 ‘골드스푼’ 을 개발한 기업입니다.

• 2019년에 기술보증기금으로부터 벤처기업으로 선정되었으며 공중보건 의사협회, 한의사협회와 단독제휴를 맺은 유일한 소개팅 서비스입니다.

• 2018년 당시, 불신과 의심으로 가득차있던 소개팅 앱 시장에서 골드스푼은 국내 최초로 '본인명의 서류 기반' 매칭 서비스를 개발하여 '믿을 수 있는 소개팅 서비스'라는 개념을 만들어냈으며, 전문직, 자산가, 고소득 직장인 등 자격을 갖춘 남성들에게만 가입을 허용해 '신뢰' '탁월함' '안전' 을 상징하는 서비스가 되었습니다. 

• 현재 해당 분야에서 가장 빠르게 성장하고 있는 골드스푼 서비스를 발전시키기 위해 지속적으로 우수한 인재를 충원하고 있으며 이에 채용공고를 올리게 되었습니다.

탁월한 인재에게 최고의 보상과 성취감을 제공하는 트리플콤마에서 재능을 펼쳐보세요!
주요업무
• ReactNative 를 활용하여 '골드스푼' ios/Android 관리 및 신규개발
• 사내 신규 프로젝트 추진 시 개발팀의 핵심역할
• 코드 리뷰 및 디버깅 협업
• 성능 최적화에 대해 지속적으로 고민하고 노력하시는 분
자격요건
- 개발 경력 3년 이상 혹은 그에 준하는 실력을 보유한 분을 찾습니다.
- TypeScript를 통한 React-Native 기반의 앱 어플리케이션 개발 경험이 필요합니다.
- RESTful API 기반의 클라이언트 개발 경험이 필요합니다.
- 실제 서비스를 위한 앱스토어 출시 및 업데이트 경험이 필요합니다.
우대사항
- 고객 경험 중심으로 생각하며 원활한 커뮤니케이션이 가능하신 분
- 기술로써 동료들의 업무 효율성을 향상시킨 경험이 있는 분
- 스타트업에서 유의미한 성과를 낸 경험이 있는 분
- 다양한 플랫폼 개발 경험을 가지신 분
혜택 및 복지
1. 합당한 보상

• 뛰어난 인재에게 합당한 보상을 지급합니다. 
  (업계 최상위 연봉 제안) 
• 열심히 하는만큼 더 받을 수 있도록 성과에 따른 인센티브도 존재합니다.
• 최신 기기 등 업무에 필요한 모든 사무기기를 제공합니다.

2. 근무 여건의 '엄청난' 강점

• 풀재택근무/원격근무/사무실근무 등 자유로운 형태의 근무환경을 제공합니다.
• '야근'이라는 단어가 존재하지 않는 사내 문화
• 2호선 삼성역 2분거리 초역세권에 사무실이 있습니다.
• 맥주를 무제한으로 드실 수 있고 고급 커피머신이 준비되어 있습니다.
• 모든 직원이 서로 ~님으로 호칭하고 존댓말을 사용하는 수평적인 문화입니다.
• 매월 20만원씩 충전되는 식대 법인카드를 제공합니다.

3. 그 밖의 강점들

• 반려동물과 함께 출근 가능합니다.
• 자유롭게 연차/반차를 사용합니다.
• 일이 없어도 억지로 야근을 하거나, 눈치 보면서 퇴근을 하지 않습니다.
• 경조사비/경조휴가를 지원합니다.
• 식대를 제공하고 간식을 무제한 제공합니다.
• 4대보험을 지원합니다."
4,웹개발자,크리에이트잇,서울.한국,"우리는 2018년 시작되어 아직 시작하는 회사입니다.

과거 디지털 에이전시로 기반을 다지고 현재 여러 서비스의 
운영 및 개발을 책임지고 있으며 자체 서비스를 위해 준비하고 있습니다.

아이디어부터 기획, UI/UX, 디자인, 개발, 배포는 물론
마케팅 및 운영에 대한 고민까지 IT에 관한 모든 경험을 하고 있습니다.

새로운 것을 무서워하지 않고 배움을 미루지 않으며 서로를 존중하고며 
효율적인 업무에 대해 고민하고클라이언트와 사용자를 배려합니다.

분위기는 자유롭고 업무는 체계적이며 꾸준한 발전을 하고 있습니다.

빠르게 성장하고 많은 클라이언트와 사용자에게 인정 받고 있습니다.

우리는 사용자를 배려하고 새로운 기술, 개념을 두려워하지 않고
꾸준히 노력하며 함께 나아갈 분이 필요합니다.
주요업무
• 메인 개발자
• 회사의 코드 품질 담당
• 회사의 논리 담당
자격요건
• 사용자를 배려하고 새로운 기술, 개념을 두려워하지 않고 꾸준히 노력하는 분
• 빠르게 성장하는 회사와 함께 빠르게 성장하고 싶으신 분
• 생각을 시각화 하고 생각의 정리 정돈이 잘 되는 분
• 작업 의도와 결과물을 논리적으로 전달해주실 수 있는 분
• node 능숙하게 사용 가능하신분
• 모델링 경험이 풍부하거나 자신 있는 분
• 정형데이터, 비정형데이터 차이를 아시는 분
• AWS에 관심을 갖고 개발, 운영 경험이 있는 분
• 마이크로 서비스 아키텍처 개념을 이해하시는분
• 정보처리 자격증 소지자
• 디자인패턴을 이해하는 분
• 코드 품질에 자신있는 분
우대사항
• 기본적인 배려와 센스가 있는 분
• 사용자의 니즈, 동기, 태도, 행위를 이해하고 생각하시는 분
• 에이전시 및 SI 경험있으신 분
• 해당 포지션 관련 자격증 소지 및  전공자
혜택 및 복지
ㆍ스타벅스 원두 캡슐커피 구비
ㆍ도서 및 장비 필요시 구매
ㆍ야근, 회식 등 강요 전혀 없음
ㆍ최대한 업무에 불편함이 없도록 지원
ㆍ탄력근무 및 식대지원
ㆍ생일 선물 및 기타 당연한 혜택 및 복지 지원 (법적 휴가보장,간식함, 필요장비 등..)"
5,Field Application 엔지니어,벡터코리아아이티(Vector Korea IT),서울.한국,"벡터코리아에서 Field Application 엔지니어를 채용 합니다.
해당 포지션은 채용 시 마감 됩니다. 
많은 지원 부탁 드립니다.
주요업무
• 고객의 소프트웨어 개발/검증 워크플로우를 이해하고, 이를 토대로 Vector 사의 솔루션을 활용하여 고객의 니즈를 지원합니다. 
• 제품에 대한 고객의 기대치와 실제 제품의 기본 기능 간의 괴리를 메우기 위해 엔지니어링 솔루션을 제공합니다. 
• Vector의 SW 테스팅 자동화 솔루션에 대해 발표하고, 데모를 시연하며, 고객의 요구에 대한 평가 프로젝트를 수행합니다. 
• 제품이 판매된 이후, 고객이 제품을 잘 사용할 수 있도록 교육, 기능 개발, 기술 지원 등을 지원합니다.
자격요건
• 임베디드 컴파일러 사용 경험과 소프트웨어 개발에 사용되는 도구 사용 경험(소프트웨어 설계도구, 소프트웨어 검증 도구 등) 
•  소프트웨어 개발 프로세스와 소프트웨어 빌드 프로세스에 대한 지식
•  소프트웨어 검증 경험
•  C와 C++ 프로그램 언어 지식
•  파이썬 또는 다른 스크립트 언어 지식
•  소프트웨어 공학, 전자 공학, 또는 이와 유사한 전공의 학사 학위 이상 
•  신입 ~ 8년차 이하
우대사항
• 로봇틱스 또는 항공산업 유경험자
• 파이썬 전문가
• 임베디드 리눅스 전문가
혜택 및 복지
벡터코리아에서는 연말 보너스를 비롯한 각종 지원금을 제공해 드립니다. 또한 유연 근로제, 콘도 멤버쉽, 자기개발을 위한 내부, 외부 교육, 무료 영어 교육 등 직원을 복지를 위한 많은 프로그램을 제공하고 있습니다."
6,백엔드 엔지니어,크리에이트잇,서울.한국,"우리는 2018년 시작되어 아직 시작하는 회사입니다.

과거 디지털 에이전시로 기반을 다지고 현재 여러 서비스의 
운영 및 개발을 책임지고 있으며 자체 서비스를 위해 준비하고 있습니다.

아이디어부터 기획, UI/UX, 디자인, 개발, 배포는 물론
마케팅 및 운영에 대한 고민까지 IT에 관한 모든 경험을 하고 있습니다.

새로운 것을 무서워하지 않고 배움을 미루지 않으며 서로를 존중하고며 
효율적인 업무에 대해 고민하고클라이언트와 사용자를 배려합니다.

분위기는 자유롭고 업무는 체계적이며 꾸준한 발전을 하고 있습니다.

빠르게 성장하고 많은 클라이언트와 사용자에게 인정 받고 있습니다.

우리는 사용자를 배려하고 새로운 기술, 개념을 두려워하지 않고
꾸준히 노력하며 함께 나아갈 분이 필요합니다.
주요업무
• server 세팅 및 데이터 베이스 설계
• Back end 개발
• 회사의 코드 품질 담당
• 회사의 논리 담당
자격요건
• 사용자를 배려하고 새로운 기술, 개념을 두려워하지 않고 꾸준히 노력하는 분
• 빠르게 성장하는 회사와 함께 빠르게 성장하고 싶으신 분
• 생각을 시각화 하고 생각의 정리 정돈이 잘 되는 분
• 작업 의도와 결과물을 논리적으로 전달해주실 수 있는 분
• node 능숙하게 사용 가능하신분
• 모델링 경험이 풍부하거나 자신 있는 분
• 정형데이터, 비정형데이터 차이를 아시는 분
• AWS에 관심을 갖고 개발, 운영 경험이 있는 분
우대사항
• 기본적인 배려와 센스가 있는 분
• 사용자의 니즈, 동기, 태도, 행위를 이해하고 생각하시는 분
• 에이전시 및 SI 경험있으신 분
• 해당 포지션 관련 자격증 소지 및  전공자
• 마이크로 서비스 아키텍처 개념을 이해하시는분
• 정보처리 자격증 소지자
• 디자인패턴을 이해하는 분
• 코드 품질에 자신있는 분
혜택 및 복지
• 스타벅스 원두 캡슐커피 구비
• 도서 및 장비 필요시 구매
• 야근, 회식 등 강요 전혀 없음
• 최대한 업무에 불편함이 없도록 지원
• 탄력근무 및 식대지원
• 생일 선물 및 기타 당연한 혜택 및 복지 지원 (법적 휴가보장,간식함, 필요장비 등..)"
7,프론트엔드 엔지니어,크리에이트잇,서울.한국,"우리는 2018년 시작되어 아직 시작하는 회사입니다.

과거 디지털 에이전시로 기반을 다지고 현재 여러 서비스의 
운영 및 개발을 책임지고 있으며 자체 서비스를 위해 준비하고 있습니다.

아이디어부터 기획, UI/UX, 디자인, 개발, 배포는 물론
마케팅 및 운영에 대한 고민까지 IT에 관한 모든 경험을 하고 있습니다.

새로운 것을 무서워하지 않고 배움을 미루지 않으며 서로를 존중하고며 
효율적인 업무에 대해 고민하고클라이언트와 사용자를 배려합니다.

분위기는 자유롭고 업무는 체계적이며 꾸준한 발전을 하고 있습니다.

빠르게 성장하고 많은 클라이언트와 사용자에게 인정 받고 있습니다.

우리는 사용자를 배려하고 새로운 기술, 개념을 두려워하지 않고
꾸준히 노력하며 함께 나아갈 분이 필요합니다.
주요업무
• Front end 개발
• 회사의 코드 품질 담당
• 회사의 논리 담당
자격요건
• 사용자를 배려하고 새로운 기술, 개념을 두려워하지 않고 꾸준히 노력하는 분
• 빠르게 성장하는 회사와 함께 빠르게 성장하고 싶으신 분
• 생각을 시각화 하고 생각의 정리 정돈이 잘 되는 분
• 작업 의도와 결과물을 논리적으로 전달해주실 수 있는 분
• SPA 라이브러리(react, vue, angular 등)를 활용한 프로젝트 경험 있는 분
• 모델링 경험이 풍부하거나 자신 있는 분
• html, css 찾아 보지 않아도 작성 가능한 분
우대사항
• 기본적인 배려와 센스가 있는 분
• 사용자의 니즈, 동기, 태도, 행위를 이해하고 생각하시는 분
• 에이전시 및 SI 경험있으신 분
• 해당 포지션 관련 자격증 소지 및  전공자
• 디자인패턴을 이해하는 분
• 코드 품질에 자신있는 분
• css를 찾아보거나 관리자툴로 맞춰보지 않아도 원하는 형태로 만들수 있는 분
혜택 및 복지
ㆍ스타벅스 원두 캡슐커피 구비
ㆍ도서 및 장비 필요시 구매
ㆍ야근, 회식 등 강요 전혀 없음
ㆍ최대한 업무에 불편함이 없도록 지원
ㆍ탄력근무 및 식대지원
ㆍ생일 선물 및 기타 당연한 복지 지원 (간식함, 필요장비 등..)"
8,백엔드 개발자 (Node.js / NestJS),블랭크랩,서울.한국,"[블랭크랩 소개]

블랭크랩은 나날이 커져가는 대한민국 공동구매 시장을 선도하는 이커머스 플랫폼 서비스입니다.

2019년 블랭크코퍼레이션의 새로운 커머스 시도로 시작된 블랭크랩 공동구매 서비스는 SNS 상의 인플루언서를 통한 공동구매 서비스를 운영 중이며, 장기적으로는 다양한 형태의 공동구매 커머스를 지원하는 종합 공동구매 커머스 플랫폼으로의 도약을 꿈꾸고 있습니다.  

이미 pilot test를 통해 월 MAU 20만 명 돌파, 월 최대 거래액 9억 원 달성, 2021년 상반기 구매전환율 9% 달성 등 긍정적인 성과들을 달성했으며, 2022년부터 본격적으로 사업 확장을 앞두고 있습니다.  

블랭크랩은 2021년 10월 현재 사용했던 mvp 프로덕트를 재개발하기 위한 준비를 진행 중이며, 이를 위해서 열정 넘치는 동료들을 모집하고 있습니다. 

같이 성장해나가며 즐겁게 일할 수 있는 분과 함께하고 싶습니다.

[개발 문화]
• 누구나 의견을 제시할 수 있고 공유할 이슈가 있다면 함께 해결하려 합니다.
• 중장기 계획을 세워 주 단위로 Task를 진행합니다.
• 코딩 컨벤션을 준수하며 PR로 코드 리뷰에 적극적인 참여를 독려합니다.
• 배포 주기는 매주 원칙으로 합니다.
• 개발에 집중하는 것 만큼이나 소비자를 위한 서비스를 만들고자 끊임없이 노력하고자 합니다.
주요업무
• 월 거래액 수십억 이상의 주문을 다루는 이커머스 프로젝트를 초기부터 합류하여 서비스를 구축합니다.
• 최신 기술 트렌드 반영하고 다양한 서비스와 기술 플랫폼을 사용하여 개발합니다.
• 웹 기반 프로덕트의 백엔드 시스템을 개발합니다.

[전형 절차 및 안내 사항 ]

서류전형 ▶ 1차 면접 ▶ 2차 면접 ▶ 처우 협의

서류 전형:
• 개인 개발 블로그나 Github등 코드를 볼 수 있는 주소를 꼭 포함해 주세요.
• 주로 어떤 경험을 해오셨는지를 작성해 주시면 좋습니다.
• 검토 후, 4일 이내 결과를 안내해 드립니다.

안내 사항:
• 1차 면접 전이나 후 중 필요시 테스트나 과제가 지원자님께 주어집니다.
• 해외 여행 결격 사유가 없는 분을 모십니다.
• 본 공고는 채용 시 마감 됩니다.
• 합격하시는 경우, 3개월의 수습기간을 적용합니다.
• 제출한 서류가 사실과 다른 경우 합격(입사)이 취소될 수 있습니다.
• 제출서류는 관계 법령에 따라 파기 및 반환합니다.
자격요건
• Typescript에 대한 이해도가 있으신 분
• 2년 이상의 백엔드 개발 경력 또는 그에 준하는 완성도 높은 결과물을 구현해 내는 능력을 가지신 분
• 하나 이상의 프로그래밍 언어를 능숙하게 사용하여 서비스를 개발하신 경험이 있으신 분
• 읽기 좋은 코드와 복잡성을 줄이고자 꾸준히 고민하시는 분
• GraphQL이나 RESTful API에 대한 설계와 개발 경험이 있으신 분
• Git을 통한 프로젝트 관리 및 협업 경험이 있으신 분
• 영어로 된 기술 문서를 읽는 것에 부담이 없으신 분
• PO, 프론트엔드 개발자와 원활히 소통하는 능력을 갖추신 분
• 개인의 성장을 위한 학습에 열의가 있으신 분
• 코드 리뷰와 지식공유에 적극적이신 분
우대사항
• OOP와 FP에 대한 기본적인 이해도 이상을 가지신 분
• Kotlin이나 Go로 실제 프로덕트를 개발해 보신 분
• AWS의 다양한 서비스를 활용한 개발 및 운영 경험을 보유하신 분
• Docker, Docker Compose등 컨테이너를 사용한 서비스 개발 경험을 보유하신 분
• 이커머스 서비스(상품/주문/결제 등)에 대한 DB 및 서버 설계와 개발 경험을 보유하신 분
• 대용량 데이터 및 트래픽 경험이 있는 분
혜택 및 복지
경력 개발자 최저 연봉 5000만원 보장:
• 좋은 동료와 함께하기 위해 지원을 아끼지 않습니다.

자율 출퇴근:
• 오전 8시에서 오전 11시 사이에 원하는 출근합니다.
• 출근 후 9시간(식사 시간 1시간 포함) 이후에 자유롭게 퇴근합니다.

리모트 워크:
• 주 2회 리모트 워크를 합니다.

다양한 휴가:
• 자유롭게 연차 휴가를 사용합니다.
• 반반차나 생일에는 조기퇴근 등 다양한 휴가 제도를 시행합니다.

든든하게 먹기:
• 점심 식대를 1만원까지 지원합니다.
• 사내에 있는 스낵바와 카페에서 간식과 커피를 무제한 제공합니다.

최고의 업무 환경:
• Macbook Pro와 Windows기반의 노트북 중 원하시는 신형 기기를 지원합니다.
• BYOD를 원하시면 매월 일정 금액을 지원합니다.
• 27인치 4K 모니터를 지원합니다.
• SaaS나 개발에 필요한 다양한 업무용 도구를 적극적으로 사용합니다.

브랜드 제품:
• 분기별로 블랭크의 다양한 브랜드 제품 구입 비용 45만 원을 지원합니다.

가족과 함께:
• 매년 5월엔 가족과 풍요로운 시간을 보내기 위한 20만원 상당의 식사비를 지원합니다.
• 가정을 배려하는 직장 어린이집을 운영합니다."
9,웹 프론트엔드 개발자,마보,서울.한국,"국내최초 마음챙김명상 어플 '마보'

마음보기명상앱 마보는 마음챙김 명상의 대중화에 앞장 서고 있는  ""언제 어디서나"" 할 수 있도록 만든 국내최초 ""마음챙김 명상 앱""입니다.
‘마보’는 ‘마음보기’의 줄임말입니다. 마음챙김 명상을 통해 사람들이 스스로의 마음을 들여다 보고 매일 헬스장에서 운동을 하듯 마음의 근육을 단련할 수 있도록 돕는 어플리케이션입니다.

국내 최초 마음챙김 명상앱 마보는 우리 나라에 마음챙김 명상의 대중화를 이끌고 있습니다. 2016년 마보 1.0 버전 출시이래 2018년 마보 안드로이드/iOS 앱의 1.5 버전 개편 이후 정기구독 유료앱으로서는 **다운로드수 36만, 가입자수 21만이라는 눈에 띄는 성장**을 만들어가고 있습니다.
주요업무
• 마보 웹 서비스 프론트엔드 개발
• 마보 서비스 운영을 위한 관리자 CMS 개발

[기술스택]
• React.js / Typescript
• AWS Cloudfront / S3
자격요건
• 최소 2년 이상의 실무 개발 경험을 가지신 분들의 이력서만 검토합니다.
• 웹 서비스 프론트엔드 개발 및 운영 경험 2년 이상
• HTTP/HTTPS, RESTful API 클라이언트 개발 경험
• Javascript / Typescript 실무 개발 경험
• HTML, CSS, Javascript, CORS 에 대한 이해
• SEO에 대한 이해 및 그에 따른 기술 운영 방식에 대한 경험
• UI/UX 이해도가 높으신 분
우대사항
• 모바일 서비스 업무 경험이 있으신 분
• 컨텐츠 스트리밍에 경험이 있으신 분
혜택 및 복지
• 마보팀은 자기가 일하고 싶은 곳에서 일해요! (리모트(재택) 근무가 Default)
• 재택근무 시 카페에 가고 식사를 할 수 있는 월 10만원의 활동비가 별도로 지급됩니다.
• 가족 또는 지인들에게 선물하고 같이 명상할 수 있는 마보 선물권을 드립니다.
• 가족 친화적 회사~아이가 있으면 더 탄력적으로 업무시간을 선택할 수 있어요!
• 매주 월요일, 금요일 온라인 회의를 하고, 한달에 한번 마보홈에서 오프라인 회의를 합니다! 팀원들의 자율성과 책임감을 믿고 존중합니다."
